"_id",Location,window.start,window.end,l.0.sensor,l.0.value,l.1.sensor,l.1.value,l.2.sensor,l.2.value,l.3.sensor,l.3.value,l.4.sensor,l.4.value,l.5.sensor,l.5.value,l.6.sensor,l.6.value,l.7.sensor,l.7.value,l.8.sensor,l.8.value,l.9.sensor,l.9.value,l.10.sensor,l.10.value,l.11.sensor,l.11.value,l.12.sensor,l.12.value,l.13.sensor,l.13.value,l.14.sensor,l.14.value,l.15.sensor,l.15.value,l.16.sensor,l.16.value,l.17.sensor,l.17.value,l.18.sensor,l.18.value,l.19.sensor,l.19.value,l.20.sensor,l.20.value,l.21.sensor,l.21.value,l.22.sensor,l.22.value,l.23.sensor,l.23.value,l.24.sensor,l.24.value,l.25.sensor,l.25.value,l.26.sensor,l.26.value,l.27.sensor,l.27.value,l.28.sensor,l.28.value,l.29.sensor,l.29.value,l.30.sensor,l.30.value,l.31.sensor,l.31.value,l.32.sensor,l.32.value,l.33.sensor,l.33.value,l.34.sensor,l.34.value,l.35.sensor,l.35.value,l.36.sensor,l.36.value,l.37.sensor,l.37.value,l.38.sensor,l.38.value,l.39.sensor,l.39.value,l.40.sensor,l.40.value,l.41.sensor,l.41.value,l.42.sensor,l.42.value,l.43.sensor,l.43.value,l.44.sensor,l.44.value,l.45.sensor,l.45.value,l.46.sensor,l.46.value,l.47.sensor,l.47.value,l.48.sensor,l.48.value,l.49.sensor,l.49.value,l.50.sensor,l.50.value,l.51.sensor,l.51.value,l.52.sensor,l.52.value,l.53.sensor,l.53.value,l.54.sensor,l.54.value,l.55.sensor,l.55.value,l.56.sensor,l.56.value,l.57.sensor,l.57.value,l.58.sensor,l.58.value,l.59.sensor,l.59.value,l.60.sensor,l.60.value,l.61.sensor,l.61.value,l.62.sensor,l.62.value,l.63.sensor,l.63.value,l.64.sensor,l.64.value,l.65.sensor,l.65.value,l.66.sensor,l.66.value,VW30cm,VW60cm,VW90cm,VW120cm,VW150cm,T30cm,T60cm,T90cm,T120cm,T150cm,Date,Time,DMN.BR09,DMN.BR08,DMN.BR07,DMN.BR06,DMN.BR05,DMN.BR04,DMN.BR03,DMN.BR02,DMN.BR13,DMN.BR01,DMN.BR12,DMN.BR11,DMN.BR10,DMN.Accuracy,DMN.DUD,DMN.DQA,DMN.Completeness,DMN.runTime
61d05914bf56362b3e90d3a3,N/A,2022-01-01T13:36:30.000Z,2022-01-01T13:37:00.000Z,VW60cm,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,,,,,,,,,01/01/2022,14:36:30,unrealistic,0,0,0,2,0,true,true,unrealistic,true,unrealistic,unrealistic,unrealistic,0,do not use,bad quality,1,0
61d05917bf56362b3e90d3a4,N/A,2022-01-01T13:36:00.000Z,2022-01-01T13:36:30.000Z,T90cm,7.24,T120cm,25.41,T150cm,26.47,VW90cm,0.56,T30cm,27.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,,,27.14,,7.24,25.41,26.47,01/01/2022,14:36:00,unrealistic,2,2,2,0,2,true,true,unrealistic,true,unrealistic,realistic,unrealistic,20,do not use,bad quality,4,0
61d0591abf56362b3e90d3a5,CAF02,2022-01-01T13:35:30.000Z,2022-01-01T13:36:00.000Z,T30cm,42.16,T30cm,2.51,VW150cm,0.54,VW90cm,0.43,T120cm,19.97,T30cm,18.39,T120cm,4.67,VW60cm,0.57,T30cm,8.27,VW90cm,0.85,VW150cm,0.76,T60cm,12.6,VW60cm,0.69,T30cm,38.12,T30cm,36.0,T30cm,19.53,T30cm,40.44,T90cm,21.87,VW30cm,0.67,T150cm,49.02,VW150cm,0.47,T120cm,8.38,VW60cm,0.64,T30cm,28.43,VW120cm,0.47,VW120cm,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,0.6333333333333333,0.64,0.5349999999999999,0.59,25.983333333333334,12.6,21.87,11.006666666666668,49.02,01/01/2022,14:35:30,realistic,2,2,2,2,2,true,true,unusual,true,realistic,realistic,realistic,80,use,suitable,5,1
61d0591dbf56362b3e90d3a6,CAF01,2022-01-01T13:35:30.000Z,2022-01-01T13:36:00.000Z,T90cm,42.45,VW30cm,0.76,VW60cm,0.02,T90cm,44.79,VW30cm,0.79,VW60cm,0.17,T30cm,18.84,T150cm,8.37,VW120cm,0.07,T120cm,28.71,T60cm,28.99,VW120cm,0.66,VW30cm,0.09,VW60cm,0.93,T90cm,4.96,VW60cm,0.92,VW60cm,0.39,T30cm,31.21,VW30cm,0.4,VW90cm,,VW120cm,0.08,VW120cm,0.04,VW90cm,0.7,T30cm,16.73,T120cm,8.5,T30cm,30.53,T150cm,38.89,VW60cm,0.34,VW60cm,0.39,T120cm,19.14,VW90cm,0.12,T30cm,16.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,0.45142857142857146,,0.2125,,22.768,28.99,30.733333333333334,18.783333333333335,23.63,01/01/2022,14:35:30,realistic,2,2,2,2,2,true,true,unrealistic,true,realistic,unrealistic,realistic,60,use,enough quality,5,0
61d0591dbf56362b3e90d3a7,CAF01,2022-01-01T13:36:30.000Z,2022-01-01T13:37:00.000Z,VW60cm,0.97,VW60cm,0.69,T30cm,2.81,VW150cm,0.11,VW60cm,,T30cm,3.31,T30cm,42.47,VW120cm,0.0,T30cm,28.64,VW90cm,0.81,T120cm,10.13,T90cm,4.23,T90cm,5.16,T30cm,5.55,T30cm,44.6,T60cm,32.43,T150cm,35.53,VW90cm,0.07,T60cm,0.85,VW60cm,0.49,T30cm,19.79,T120cm,4.46,VW60cm,0.86,VW30cm,0.16,T90cm,10.79,T60cm,,VW30cm,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165,,0.44000000000000006,0.0,0.11,21.024285714285714,,6.726666666666667,7.295,35.53,01/01/2022,14:36:30,realistic,2,2,2,0,2,true,true,unrealistic,true,unrealistic,realistic,unrealistic,40,do not use,bad quality,4,0
61d0591fbf56362b3e90d3a8,CAF04,2022-01-01T13:36:00.000Z,2022-01-01T13:36:30.000Z,T60cm,35.74,T60cm,8.4,T150cm,45.55,VW120cm,0.76,VW30cm,0.96,VW60cm,0.34,VW120cm,0.99,T150cm,43.28,VW150cm,0.95,T30cm,43.56,T120cm,36.2,VW60cm,0.76,T90cm,42.4,VW30cm,0.89,VW60cm,0.54,VW30cm,0.95,VW30cm,0.87,T150cm,20.27,T90cm,10.06,T30cm,34.24,VW60cm,,VW120cm,,T30cm,17.32,VW30cm,0.38,VW90cm,0.69,T30cm,0.81,VW120cm,0.88,T150cm,32.77,VW120cm,0.25,VW120cm,0.06,T30cm,42.68,T90cm,11.35,T60cm,15.94,T150cm,30.89,T60cm,1.18,T60cm,37.49,T120cm,10.24,VW150cm,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8099999999999999,,0.69,,0.475,27.722,19.75,21.27,23.220000000000002,34.552,01/01/2022,14:36:00,unusual,2,2,2,2,2,true,true,realistic,true,unrealistic,realistic,unrealistic,20,do not use,bad quality,5,1
61d0591fbf56362b3e90d3a9,CAF05,2022-01-01T13:36:30.000Z,2022-01-01T13:37:00.000Z,T30cm,10.95,T90cm,35.26,VW30cm,0.29,VW90cm,0.02,T150cm,45.36,VW150cm,0.27,VW30cm,0.55,T60cm,49.62,VW30cm,0.32,T90cm,7.01,VW30cm,0.84,T60cm,10.15,VW120cm,0.07,VW150cm,0.94,T60cm,6.79,VW60cm,0.03,VW30cm,0.8,T150cm,7.97,T60cm,8.59,VW30cm,0.44,VW120cm,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5399999999999999,0.03,0.02,0.30500000000000005,0.605,10.95,18.7875,21.134999999999998,,26.665,01/01/2022,14:36:30,realistic,2,2,2,2,2,true,true,realistic,true,unrealistic,unrealistic,unrealistic,20,do not use,bad quality,5,0
61d05921bf56362b3e90d3aa,CAF04,2022-01-01T13:35:30.000Z,2022-01-01T13:36:00.000Z,VW150cm,0.1,VW120cm,0.78,VW120cm,,T30cm,11.12,T60cm,21.24,T60cm,46.82,T60cm,24.29,VW90cm,0.65,T30cm,38.93,VW90cm,0.35,T60cm,32.52,VW30cm,0.98,VW90cm,0.94,T30cm,40.05,T120cm,8.3,T120cm,32.22,VW30cm,0.14,VW60cm,0.3,T30cm,2.27,T120cm,18.15,VW90cm,0.84,T90cm,41.58,VW120cm,0.93,VW90cm,0.57,VW30cm,0.61,T90cm,13.54,T30cm,7.68,T60cm,19.78,T90cm,29.55,T60cm,23.62,VW150cm,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5766666666666667,0.3,0.6699999999999999,,0.52,20.009999999999998,28.045,28.223333333333333,19.556666666666665,,01/01/2022,14:35:30,realistic,2,2,2,2,2,true,true,unrealistic,true,unrealistic,realistic,realistic,60,use,enough quality,5,0
61d05923bf56362b3e90d3ab,CAF04,2022-01-01T13:37:00.000Z,2022-01-01T13:37:30.000Z,T60cm,29.63,VW60cm,0.77,VW120cm,0.14,VW30cm,0.83,T120cm,30.34,VW120cm,0.29,VW150cm,0.69,VW30cm,0.14,T150cm,33.83,VW90cm,0.14,T120cm,43.57,VW150cm,0.91,T120cm,12.77,T150cm,2.6,T90cm,0.15,VW150cm,0.89,VW120cm,0.3,VW30cm,0.07,VW90cm,0.69,VW60cm,0.08,VW150cm,0.87,VW30cm,0.67,VW30cm,0.47,T30cm,29.18,VW90cm,0.21,VW30cm,0.28,VW60cm,0.77,VW60cm,0.14,VW90cm,0.01,T30cm,47.34,VW60cm,0.46,VW30cm,0.93,T120cm,24.68,T30cm,,T90cm,35.84,T150cm,27.99,T90cm,33.38,VW150cm,0.38,T30cm,23.37,T90cm,9.16,T60cm,11.63,T120cm,34.46,VW90cm,0.93,T90cm,12.76,VW30cm,0.3,T30cm,4.92,VW120cm,0.11,T60cm,15.58,VW120cm,0.81,VW30cm,0.67,T120cm,25.43,VW60cm,0.68,VW150cm,0.26,T60cm,33.01,VW90cm,0.18,T150cm,44.73,,,,,,,,,,,,,,,,,,,,,,,0.48444444444444446,0.4833333333333334,0.36000000000000004,0.32999999999999996,0.6666666666666666,,22.4625,18.258000000000003,28.541666666666668,27.2875,01/01/2022,14:37:00,unrealistic,2,2,2,2,2,true,true,realistic,true,realistic,realistic,realistic,60,use,enough quality,5,0
61d05923bf56362b3e90d3ac,N/A,2022-01-01T13:37:00.000Z,2022-01-01T13:37:30.000Z,VW30cm,0.54,VW60cm,0.73,VW60cm,0.86,VW60cm,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,0.6366666666666666,,,,,,,,,01/01/2022,14:37:00,unrealistic,0,0,0,2,2,true,true,unrealistic,true,unrealistic,unrealistic,unrealistic,0,do not use,bad quality,2,1
61d05925bf56362b3e90d3ad,CAF03,2022-01-01T13:36:30.000Z,2022-01-01T13:37:00.000Z,T30cm,37.3,T60cm,36.12,VW90cm,0.96,VW120cm,0.95,T120cm,41.42,VW90cm,0.0,T30cm,0.03,T60cm,21.42,T120cm,29.66,T120cm,23.82,T30cm,24.83,VW90cm,0.97,T150cm,14.37,VW60cm,0.55,VW120cm,0.59,T120cm,14.98,VW90cm,0.73,VW150cm,0.3,T90cm,25.71,VW90cm,0.02,T30cm,37.26,T120cm,29.93,T120cm,,VW90cm,0.01,T90cm,3.18,T60cm,18.29,VW60cm,0.35,T90cm,1.52,VW90cm,0.35,T120cm,29.83,T60cm,20.86,VW30cm,0.39,VW60cm,0.33,VW30cm,0.38,T60cm,42.6,T120cm,41.03,T60cm,10.74,T60cm,18.85,VW150cm,0.27,VW30cm,0.99,T90cm,15.33,VW30cm,0.18,VW30cm,0.29,VW60cm,0.46,T30cm,16.68,T30cm,26.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.446,0.4225,0.4342857142857143,0.77,0.28500000000000003,23.756666666666664,24.125714285714285,11.435,,14.37,01/01/2022,14:36:30,realistic,2,2,2,2,2,true,true,realistic,true,unusual,realistic,realistic,60,use,enough quality,5,1
61d05928bf56362b3e90d3ae,CAF04,2022-01-01T13:36:30.000Z,2022-01-01T13:37:00.000Z,T60cm,38.67,VW30cm,0.7,T90cm,30.19,T120cm,36.52,VW90cm,0.62,T30cm,43.35,T150cm,16.35,VW60cm,0.37,VW30cm,0.49,T150cm,9.54,T90cm,38.85,VW90cm,0.61,VW150cm,0.36,VW60cm,0.91,VW120cm,0.68,T90cm,22.41,T30cm,32.83,VW30cm,0.45,VW90cm,,VW150cm,0.18,T30cm,40.81,VW120cm,0.36,T90cm,20.17,T120cm,18.23,VW120cm,0.23,VW120cm,0.01,T150cm,7.45,T60cm,11.44,VW120cm,0.31,T90cm,17.82,T90cm,47.24,T60cm,16.6,T30cm,1.66,T150cm,46.38,VW60cm,0.91,VW90cm,0.61,T90cm,45.09,VW90cm,0.03,VW30cm,0.77,VW120cm,0.81,T30cm,49.91,T60cm,44.44,VW150cm,0.02,VW90cm,0.96,T90cm,30.04,T120cm,36.96,VW120cm,0.1,T30cm,23.86,VW90cm,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6025,0.73,,0.3571428571428572,0.18666666666666668,32.07,27.7875,31.47625,30.570000000000004,19.93,01/01/2022,14:36:30,realistic,2,2,2,2,2,true,true,realistic,true,realistic,unrealistic,unusual,40,do not use,bad quality,5,0
